,mse,rmse,mae,r2,mape,within_0.5,within_1.0,correlation
random_forest,0.167846062052506,0.4096902025341905,0.2273031026252983,0.9436822804041565,4.661314818832719,82.17979315831344,94.27207637231504,0.9714423247905124
xgboost,0.18429753558488318,0.42929888840396874,0.2592635202616477,0.9381622851060539,5.991613622628761,81.5035799522673,93.87430389817024,0.968592498738898
svm,0.23877384258020187,0.48864490438374764,0.34685748189501614,0.9198837425864224,8.86052850784957,73.11058074781225,94.59029435163086,0.9591388415550964
