feature,importance
feature_12,0.45463975726646266
feature_13,0.4464312047784764
feature_62,0.014761606962873052
feature_10,0.007790353116376399
feature_23,0.004807921120516306
feature_24,0.003214704481391932
feature_332,0.0023795110685018313
feature_29,0.001746147616709243
feature_396,0.0014858782206860323
feature_0,0.0012441285911080273
feature_42,0.0012192031264485783
feature_9,0.0007947689912509533
feature_8,0.0007712416684852892
feature_7,0.0005824965856799328
feature_167,0.0005588663446711102
feature_344,0.0005441184067571485
feature_1,0.000478794177110304
feature_359,0.0004596172314664681
feature_50,0.00044437955394072576
feature_198,0.00044226836458680855
feature_135,0.00042271868085053897
feature_295,0.00041117072234736723
feature_392,0.0004096300168523526
feature_174,0.00036306793281998853
feature_386,0.00033851864611670533
feature_77,0.0003371324298614969
feature_203,0.0003233831103141302
feature_270,0.0003160363552933312
feature_170,0.0003065449669908542
feature_342,0.00030166687358536726
feature_313,0.0002960906909939934
feature_25,0.00028947507216584527
feature_78,0.0002885173396142121
feature_73,0.000285367622420064
feature_98,0.000275650765426616
feature_6,0.0002736278896017055
feature_225,0.0002732166117747924
feature_199,0.00026452238984231734
feature_165,0.0002597311698192675
feature_181,0.0002537554268717712
feature_185,0.00025302532739598916
feature_362,0.00025214821335566
feature_290,0.00025114656550439065
feature_103,0.00024032505275650552
feature_309,0.0002281537119492826
feature_282,0.0002277477313801113
feature_210,0.00022482018860694
feature_168,0.00022274554774841257
feature_374,0.00022270082275164377
feature_256,0.00022199751881918454
feature_388,0.00021515637606512176
feature_307,0.00021255778285566944
feature_403,0.00021251735983610428
feature_171,0.00021070026289052743
feature_90,0.00020898608832455314
feature_186,0.00020846870810874578
feature_348,0.00020699175585284696
feature_378,0.00020691323456295077
feature_155,0.00020586570003230617
feature_61,0.00020163032737849539
feature_300,0.0002014892935744846
feature_60,0.00019875916954994452
feature_339,0.0001982235565484386
feature_22,0.0001970564000443981
feature_326,0.00019643863367813574
feature_64,0.0001963225990660581
feature_220,0.00019586303082675579
feature_201,0.00019429014462471616
feature_11,0.0001932650080791732
feature_172,0.0001930768666636362
feature_276,0.000191891764514839
feature_356,0.00019042380194947674
feature_190,0.00018809195478657599
feature_5,0.00018789896348289257
feature_157,0.00018739287012233525
feature_54,0.00018737291321452748
feature_207,0.00018613726030102578
feature_316,0.0001847050757608599
feature_176,0.0001839031680139653
feature_191,0.00018363801700356936
feature_159,0.00018339828400992854
feature_285,0.00018222016693383899
feature_31,0.00018047224993695716
feature_230,0.00018025287062958508
feature_52,0.0001800891250939554
feature_372,0.00017885665788627022
feature_91,0.0001782754520905572
feature_377,0.00017812290175479991
feature_228,0.00017761373542502396
feature_373,0.0001773847849976872
feature_71,0.00017724341370283745
feature_145,0.00017612753211273917
feature_164,0.00017582619805830713
feature_113,0.00017557837433213416
feature_311,0.0001753394366684743
feature_322,0.0001749808372006243
feature_121,0.00017433078136745375
feature_233,0.00017411085385290605
feature_251,0.00017293001205846684
feature_384,0.00017260686619367918
feature_325,0.00017257748720038053
feature_33,0.00017234742194179544
feature_72,0.0001720068695964877
feature_335,0.0001712964586106415
feature_380,0.00017040682226399703
feature_102,0.00017022294213510272
feature_111,0.00016988251590811072
feature_397,0.0001697790916820157
feature_350,0.00016977667115666148
feature_402,0.00016970218293579822
feature_343,0.00016958221315606427
feature_242,0.00016836018942408885
feature_367,0.0001682802725719128
feature_250,0.00016824685495821692
feature_346,0.00016798356059991075
feature_244,0.0001672516431360294
feature_264,0.0001668442265480406
feature_248,0.00016681099478402803
feature_3,0.00016662790185321486
feature_293,0.00016660941058157616
feature_329,0.00016552272135908708
feature_126,0.00016485111734028098
feature_158,0.00016419535424437164
feature_144,0.00016384322013947525
feature_138,0.00016300995379534128
feature_304,0.0001623545976990662
feature_331,0.00016232283308537156
feature_299,0.00016194360364982604
feature_319,0.00016189387495698683
feature_405,0.00015924926927852798
feature_96,0.00015917302520368175
feature_216,0.00015892003980579725
feature_301,0.00015805575758259298
feature_258,0.00015766606074229817
feature_283,0.0001575775415072301
feature_277,0.00015743745198457625
feature_120,0.00015714749463553715
feature_249,0.00015701575948871415
feature_51,0.00015539867886486849
feature_194,0.00015538300131774912
feature_152,0.00015504949389731612
feature_345,0.00015500008886531411
feature_298,0.00015491307048201927
feature_399,0.0001547532249502664
feature_243,0.0001545971482945759
feature_59,0.00015425365822713981
feature_160,0.00015400865778454793
feature_129,0.0001537496541918889
feature_18,0.00015358701653893486
feature_383,0.00015231349856506825
feature_275,0.00015174619033825364
feature_391,0.00015130342734068455
feature_136,0.00015122181761567131
feature_368,0.00015080599990852445
feature_193,0.00015021824865162225
feature_146,0.0001493106389306864
feature_95,0.00014891777137732121
feature_389,0.00014876199162508458
feature_296,0.0001480691619685943
feature_255,0.00014794912208022413
feature_86,0.00014765431105443697
feature_178,0.00014751612550216824
feature_214,0.00014746137906037555
feature_360,0.00014742527083469516
feature_83,0.00014728768858074013
feature_147,0.00014714799244452902
feature_137,0.00014665132141978283
feature_150,0.00014647518133403006
feature_272,0.00014624200766500113
feature_328,0.00014560724007529647
feature_376,0.00014544500655427675
feature_398,0.00014512859997866978
feature_266,0.00014482466795304863
feature_76,0.00014461949725429307
feature_34,0.00014448503736864057
feature_46,0.00014442047936706723
feature_131,0.00014422259954504163
feature_395,0.00014384652622627438
feature_100,0.00014376150255852857
feature_117,0.0001435293169596194
feature_261,0.0001427996806002036
feature_381,0.00014233103198655497
feature_48,0.00014178688010235916
feature_40,0.00014162065426882726
feature_229,0.00014157119884307623
feature_213,0.0001415677886799861
feature_217,0.00014151961087999424
feature_239,0.0001405616045237602
feature_267,0.00014029346879326193
