Model,R²,RMSE,MAE,Within 0.5,Within 1.0,MAPE
ensemble,0.9460252005371388,0.4010777467056384,0.24390612375048068,82.2593476531424,94.82895783611774,5.448522621394474
random_forest,0.9436822804041565,0.4096902025341905,0.2273031026252983,82.17979315831344,94.27207637231504,4.661314818832719
xgboost,0.9381622851060539,0.42929888840396874,0.2592635202616477,81.5035799522673,93.87430389817024,5.991613622628761
svm,0.9198837425864224,0.48864490438374764,0.34685748189501614,73.11058074781225,94.59029435163086,8.86052850784957
lstm,0.9181107401118601,0.4940222628856882,0.3342702639368478,74.78122513922037,92.91964996022276,7.935331870889568
